2018-05-03 16:04:15,973[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44216, open=44199, metric=0, events1=3, events2=0, pushers=33057, create=44307, release=108, error=4100, push_count=134364, unhosted_size=0, unhosted_count=0, fromproxy_count=31723, clock=2018-02-24 14:06:54.38, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:96 ms.
2018-05-03 16:04:16,369[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=292631, open=37445, metric=0, events1=0, events2=0, pushers=2228475, create=292635, release=0, error=0, push_count=2273822, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:07:34.402, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:492 ms.
2018-05-03 16:05:15,890[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37587, open=37441, metric=1, events1=0, events2=0, pushers=76, create=37587, release=0, error=0, push_count=44491, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:07:58.247, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:13 ms.
2018-05-03 16:05:15,971[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=0, events2=0, pushers=45938, create=44307, release=108, error=4721, push_count=160123, unhosted_size=0, unhosted_count=0, fromproxy_count=44601, clock=2018-02-24 14:06:54.803, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:94 ms.
2018-05-03 16:05:16,441[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=296297, open=37441, metric=0, events1=0, events2=0, pushers=2468872, create=296303, release=0, error=0, push_count=2513950, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:07:34.302, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:564 ms.
2018-05-03 16:06:15,891[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37587, open=37441, metric=1, events1=0, events2=0, pushers=76, create=37587, release=0, error=0, push_count=44491, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:58.246, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:14 ms.
2018-05-03 16:06:15,986[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=0, events2=0, pushers=54322, create=44307, release=108, error=5788, push_count=176893, unhosted_size=0, unhosted_count=0, fromproxy_count=52986, clock=2018-02-24 14:06:54.653, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:109 ms.
2018-05-03 16:06:16,499[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=300062, open=37441, metric=0, events1=0, events2=0, pushers=2696319, create=300092, release=0, error=0, push_count=2742111, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:28.943, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:622 ms.
2018-05-03 16:07:15,891[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37587, open=37441, metric=1, events1=0, events2=0, pushers=76, create=37587, release=0, error=0, push_count=44491, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:09:58.251, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:14 ms.
2018-05-03 16:07:16,024[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=258, events2=0, pushers=61654, create=44307, release=108, error=8319, push_count=191815, unhosted_size=0, unhosted_count=0, fromproxy_count=60576, clock=2018-02-24 14:06:55.016, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:147 ms.
